uniqueid,hhid,surveyid,surveyor,surveydate,surveytime,survey_complete,superpresent,scrutinizedyn,backcheckedyn,sex,age,educ,income,addressdur,addressdur_unit,areadur,areadur_unit,occupation,occupationother,castename,castecode,literateyn,treatment,own4wheeleryn,own4wheelernum,own4wheelervalue,own4wheelertheft,own4wheelertheftnum,theftfromcaryn,theftfromcarnum,own2wheeleryn,own2wheelernum,own2wheelervalue,own2wheelertheft,own2wheelertheftnum,own2wheelertheftvictim_1,own2wheelertheftvictim_2,cycleownyn,cycleownnum,cycleownvalue,cycletheftyn,cycletheftnum,cycletheftvictim_1,cycletheftvictim_2,burglaryyn,burglarynum,attemptedburglaryyn,attemptedburglarynum,vandalismyn,vandalismnum,trespassingyn,trespassingnum,robberyyn,robberynum,robberyvictim_1,robberyvictim_2,theftyn,theftnum,theftvictim_1,theftvictim_2,thanavisityn,thanavisitreason,thanavisitreason_other,surveytime2,thanavisitreason_other2,exit,base_age,base_income,base_educ
1,1101008,122,Benjamin,09242014,6308,1,0,1,0,1,45,0,2733,45,3,45,4,1,,"KUMHAR,",2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,99,NA,NA,NA,1,1,3008,2,NA,NA,2,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,Other,BATWARE KE LIYE,105.13333,NA,1,44,1609,None or anganwadi
2,1101015,101,Peter,09132013,7295,0,0,1,0,2,75,0,2370,75,2,75,4,1,,GUJAR,2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,121.58334,NA,1,74,2826,None or anganwadi
3,1101019,115,Peter,12142014,6339,1,0,1,0,1,1975,7,2786,20,3,20,3,2,,CH AMAR,3,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,105.65,NA,1,1975,2426,7
4,1101027,84,Benjamin,10172014,7430,1,0,1,0,1,52,NA,2404,52,1,52,1,5,,SHARMA,1,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3136,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,To register a Crime,,NA,NA,NA,NA,NA,NA
5,1101040,88,Anna,09242014,7551,1,0,1,0,1,1983,7,3060,38,1,38,1,1,,JOGI,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2864,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,125.85,NA,1,1983,1652,7
6,1101044,107,Anna,10202014,5636,1,0,1,0,1,1971,0,3454,40,1,40,3,1,,YADAV,2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,93.933334,NA,1,1971,2673,None or anganwadi
7,1101050,99,Mary,08302013,8074,1,1,1,1,2,39,0,2046,43,1,43,2,7,,YADAV,2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,134.56667,NA,1,38,2758,None or anganwadi
8,1101051,136,Benjamin,09292013,7364,1,0,1,0,1,55,10,1967,55,1,55,4,9,,RAJPUT,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,Other,SAMJHOTA KARANE,122.73333,NA,1,54,2710,10
9,1102020,83,John,11132014,7485,1,0,1,0,2,65,0,4164,70,2,11,3,1,,GURJAR,2,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,124.75,NA,1,64,1188,None or anganwadi
10,1102021,77,Peter,10302014,5941,0,0,1,0,2,35,5,2323,38,1,38,4,10,,DARJI,2,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,99.01667,NA,1,34,2456,5
11,1102041,85,John,09152014,8376,0,0,1,0,2,1976,0,948,50,1,50,1,1,,YADAV,2,0,1,1,1,2926,0,NA,0,NA,1,1,2982,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,139.60001,NA,1,1976,1429,None or anganwadi
12,1102049,86,Peter,10292013,7103,1,0,1,1,1,1978,8,2620,49,1,49,1,1,,YADAV,2,1,1,1,1,2767,0,NA,0,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,118.38333,NA,1,1978,4102,8
13,1103008,106,Benjamin,09152014,9252,1,0,1,0,2,50,0,3173,50,1,34,1,2,,BALAI,3,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2839,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,154.2,NA,1,49,1312,None or anganwadi
14,1103015,114,Benjamin,10252014,8438,1,0,1,0,1,28,8,3863,28,3,28,3,1,,SAINI,2,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2779,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,140.63333,NA,1,27,2538,8
15,1103018,200,Caroline,09292013,6644,1,0,1,0,2,29,8,2784,30,1,30,3,10,,KAUR,2,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,110.73333,NA,1,28,1404,8
